Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
CD,*,*,2.2,50.10769231
CD,*,*,2.3,52.27692308
CD,*,*,2.4,54.44615385
CD,*,*,2.5,56.61538462
CD,*,*,2.6,58.78461538
CD,*,*,2.7,60.95384615
CD,*,*,2.8,63.12307692
CD,*,*,2.9,65.29230769
CD,*,*,3,67.46153846
CD,*,*,3.1,69.63076923
CD,*,*,3.2,71.8
CD,*,*,3.3,73.96923077
CD,*,*,3.4,76.13846154
CD,*,*,3.5,78.30769231
CD,*,*,3.6,80.47692308
CD,*,*,3.7,82.64615385
CD,*,*,3.8,84.81538462
CD,*,*,3.9,86.98461538
CD,*,*,4,89.15384615
CD,*,*,4.1,91.32307692
CD,*,*,4.2,93.49230769
CD,*,*,4.3,95.66153846
CD,*,*,4.4,97.83076923
CD,*,*,4.5,100
CD,*,*,4.6,102.1692308
CD,*,*,4.7,104.3384615
CD,*,*,4.8,106.5076923
CD,*,*,4.9,108.6769231
CD,*,*,5,110.8461538
CF,*,*,0.1,4.553846154
CF,*,*,0.2,6.723076923
CF,*,*,0.3,8.892307692
CF,*,*,0.4,11.06153846
CF,*,*,0.5,13.23076923
CF,*,*,0.6,15.4
CF,*,*,0.7,17.56923077
CF,*,*,0.8,19.73846154
CF,*,*,0.9,21.90769231
CF,*,*,1,24.07692308
CF,*,*,1.1,26.24615385
CF,*,*,1.2,28.41538462
CF,*,*,1.3,30.58461538
CF,*,*,1.4,32.75384615
CF,*,*,1.5,34.92307692
CF,*,*,1.6,37.09230769
CF,*,*,1.7,39.26153846
CF,*,*,1.8,41.43076923
CF,*,*,1.9,43.6
CF,*,*,2,45.76923077
CF,*,*,2.1,47.93846154
CF,*,*,2.2,50.10769231
CF,*,*,2.3,52.27692308
CF,*,*,2.4,54.44615385
CF,*,*,2.5,56.61538462
CF,*,*,2.6,58.78461538
CF,*,*,2.7,60.95384615
CF,*,*,2.8,63.12307692
CF,*,*,2.9,65.29230769
CF,*,*,3,67.46153846
CF,*,*,3.1,69.63076923
CF,*,*,3.2,71.8
CF,*,*,3.3,73.96923077
CF,*,*,3.4,76.13846154
CF,*,*,3.5,78.30769231
CF,*,*,3.6,80.47692308
CF,*,*,3.7,82.64615385
CF,*,*,3.8,84.81538462
CF,*,*,3.9,86.98461538
CF,*,*,4,89.15384615
CF,*,*,4.1,91.32307692
CF,*,*,4.2,93.49230769
CF,*,*,4.3,95.66153846
CF,*,*,4.4,97.83076923
CF,*,*,4.5,100
CF,*,*,4.6,102.1692308
CF,*,*,4.7,104.3384615
CF,*,*,4.8,106.5076923
CF,*,*,4.9,108.6769231
CF,*,*,5,110.8461538
CG,*,*,0.1,4.553846154
CG,*,*,0.2,6.723076923
CG,*,*,0.3,8.892307692
CG,*,*,0.4,11.06153846
CG,*,*,0.5,13.23076923
CG,*,*,0.6,15.4
CG,*,*,0.7,17.56923077
CG,*,*,0.8,19.73846154
CG,*,*,0.9,21.90769231
CG,*,*,1,24.07692308
CG,*,*,1.1,26.24615385
CG,*,*,1.2,28.41538462
CG,*,*,1.3,30.58461538
CG,*,*,1.4,32.75384615
CG,*,*,1.5,34.92307692
CG,*,*,1.6,37.09230769
CG,*,*,1.7,39.26153846
